method,PSNR,SSIM,ms
(degraded),22.302608343341912,0.5302037612008499,0.0
spatial mean 5x5,23.066999938319835,0.5456328618981097,0.2310777665115893
spatial median 5x5,23.221016734046994,0.5386533663613062,0.2960096000000097
ideal LPF D0=0.10,22.013687235035757,0.5119940894140761,44.067668066660794
Butterworth LPF D0=0.10 n=2,23.121052331450496,0.5942790389085254,49.871494499863424
Gaussian LPF D0=0.10,23.352502702527836,0.5921059327089077,46.079845866794734
auto notch-reject,34.77767623780681,0.943412024060722,94.85379303326529
