true_sigma,mean,std,min,max
0,2.3683850314850994,1.6186906124616032,0.5420785930237347,8.652684751127916
5,4.6948939026760605,1.2971714226621227,3.452510751819926,10.167469039718789
10,7.6429865914575394,1.0689581136737243,6.706257461583874,12.441522984579132
15,10.66667655884785,0.9150647737279433,9.828210613070045,14.946625287149754
20,13.693069246378146,0.8351984425652978,12.759284291311726,17.613520837571794
30,19.51924823186098,0.816421040539612,18.2992406959401,23.017184378198372
40,25.002893280232563,0.9750975828270079,23.269514322696942,28.769173666924235
