source,method,ms/frame,Precision,Recall,F1
vtest.avi,mog2,2.7295478204765597,,,
vtest.avi,knn,3.058798076964218,,,
vtest.avi,running_avg,3.2430944204698346,,,
CAVIAR/EnterExitCrossingPaths1cor,mog2,1.1906382924541692,0.8179959100204499,0.31746031746031744,0.45740423098913663
CAVIAR/EnterExitCrossingPaths1cor,running_avg,0.9320789738651319,0.6121495327102804,0.4158730158730159,0.49527410207939504
CAVIAR/Fight_Chase,mog2,1.294016795827596,0.9682539682539683,0.13156002875629044,0.23164556962025318
CAVIAR/Fight_Chase,running_avg,0.8940823039720567,0.5173581710414903,0.4392523364485981,0.4751166407465008
CAVIAR/Meet_Crowd,mog2,1.3008137556001753,0.9305912596401028,0.31894273127753303,0.4750656167979002
CAVIAR/Meet_Crowd,running_avg,0.8721233788179056,0.8923679060665362,0.4017621145374449,0.5540704738760631
