scheme,roi_area_%,bpp,PSNR_objects,PSNR_background,uniform_q
ROI q90/q15,4.325056664737654,0.6403260030864197,35.155136409885465,29.451817640838293,33.333333333333336
uniform (<= size of q90/q15),4.325056664737654,0.6329644097222222,27.985858985811433,32.379755676687665,33.333333333333336
ROI q90/q30,4.325056664737654,0.8616259162808642,35.155136409885465,31.98942218446368,52.86666666666667
uniform (<= size of q90/q30),4.325056664737654,0.8531165605709876,29.74053853128265,34.109774455510376,52.86666666666667
