scenario,filter,PSNR,SSIM,ms
gaussian_s15,(none),24.767675340786393,0.5910735292589377,0.0
gaussian_s15,mean3,26.04578497300593,0.7467512494556928,0.3006125750061983
gaussian_s15,mean5,23.978925748693417,0.6709547039513784,0.24555320003400993
gaussian_s15,gaussian,27.34946245954967,0.791660447901579,0.2951167750325112
gaussian_s15,median3,26.216530709069207,0.7200929970924159,0.1461333250063035
gaussian_s15,median5,24.700981611387657,0.6840374770260058,0.2794676750909275
gaussian_s15,adaptive_median,25.79009726631643,0.6530588334996086,15.696606224992138
gaussian_s15,bilateral,27.076036628114377,0.6935292778266596,1.495126025065474
gaussian_s15,nlm,28.507276292860944,0.79518560459049,208.62406152498352
gaussian_s15,median3+laplacian,21.722419084814018,0.499760793763818,4.0948707999859835
gaussian_s15,nlm+unsharp,26.076450222407043,0.7542652823816697,208.527098975037
gaussian_s30,(none),19.02339808162883,0.36169408058432795,0.0
gaussian_s30,mean3,24.250001423037986,0.6079171955275646,0.259418750124496
gaussian_s30,mean5,23.410508328053506,0.6129399846313016,0.20090527509637468
gaussian_s30,gaussian,24.468221457148196,0.6761353838270309,0.4031499000348049
gaussian_s30,median3,23.55537549629081,0.5447716293701604,0.17739374995926482
gaussian_s30,median5,23.602839370217335,0.5872511750021912,0.31282812497011037
gaussian_s30,adaptive_median,21.326796141315494,0.4283245989666825,16.673357300055613
gaussian_s30,bilateral,21.45774975224431,0.45559113290498354,1.4583186750542154
gaussian_s30,nlm,24.27586097881667,0.6596630678335592,208.4681155750559
gaussian_s30,median3+laplacian,18.392731270909607,0.31713786353928825,4.204069675006394
gaussian_s30,nlm+unsharp,22.53515125918211,0.6198720980071176,208.63912722509212
saltpepper_5,(none),17.931002940039587,0.4481509260406088,0.0
saltpepper_5,mean3,23.66615753713674,0.6027101672214016,0.30765527505991486
saltpepper_5,mean5,23.12346485284843,0.5973286824013565,0.19530727493020095
saltpepper_5,gaussian,24.135309423122198,0.6370486995335515,0.28533227500702196
saltpepper_5,median3,27.815833412104503,0.8510766631783835,0.20699684991996037
saltpepper_5,median5,25.16200974111819,0.7412547367706146,0.3361260499787022
saltpepper_5,adaptive_median,31.831270114952076,0.9447667993823471,15.479644799984271
saltpepper_5,bilateral,17.910248911124675,0.4301701422167567,1.4378812249560724
saltpepper_5,nlm,18.376032738961495,0.45568920340035624,207.70343222498013
saltpepper_5,median3+laplacian,23.668162540743587,0.7825375028606261,4.1720614250380095
saltpepper_5,nlm+unsharp,17.85458569024372,0.45191751448625705,208.25383012502243
saltpepper_20,(none),11.92337745181246,0.15262088412715363,0.0
saltpepper_20,mean3,19.09160331656244,0.3471466311259913,0.27639175000331306
saltpepper_20,mean5,20.11917850525675,0.42753625331201084,0.20028017490858474
saltpepper_20,gaussian,19.617751981525846,0.49945094135385315,0.8524769999439741
saltpepper_20,median3,24.9674236299032,0.7949374404802259,0.13698127493171341
saltpepper_20,median5,24.512523341929807,0.7255539652167584,0.3825530751328188
saltpepper_20,adaptive_median,29.41636589314308,0.9252703403698422,17.0616343751135
saltpepper_20,bilateral,12.124091117227154,0.13600352494588794,1.5396645750570315
saltpepper_20,nlm,16.344309875585736,0.29567670117689604,207.7941760499698
saltpepper_20,median3+laplacian,20.99328951754749,0.6798007067569289,4.189086574979228
saltpepper_20,nlm+unsharp,15.256421271616881,0.24669000850995237,208.64542607503154
