codec,bpp,PSNR,SSIM
JPEG (libjpeg),0.5,27.009758568204237,0.8010935938962827
JPEG (libjpeg),1.0,30.685694645985407,0.9017172570719721
DCT codec (ours),0.5,25.796050571591525,0.7611428807526202
DCT codec (ours),1.0,29.070905253444508,0.8626495030336995
Wavelet haar,0.5,24.415088756269505,0.6630201753810314
Wavelet haar,1.0,27.964474099090783,0.7952446424745107
Wavelet bior4.4,0.5,25.193638985611955,0.69799890636341
Wavelet bior4.4,1.0,29.021206875687465,0.8240608533194824
