scenario,raw F1,restored F1
clean,0.8249258160237388,0.8253012048192772
gaussian_s30,0.6141732283464566,0.7828947368421052
saltpepper_5,0.7157894736842104,0.8260869565217391
periodic,0.5666666666666667,0.808641975308642
low_light,0.6761565836298933,0.6715328467153285
night_compound,0.584,0.6466165413533834
