method,PSNR,SSIM,ms
(degraded),16.82785787324688,0.9016328536422864,0.0
global HE,16.36979426023486,0.8489250544097616,1.3836944332676164
CLAHE,18.031246502165246,0.8586975703050183,1.7588027667443384
homomorphic (ours),18.166811012422936,0.9218552414663975,18.49455416671238
"homomorphic, % stretch",14.844420934123473,0.8841617051850198,18.48065839994888
