published frame,TP,FP,FN,Precision,Recall,F1,AP50,ms
original,72,13,3,0.8470588235294118,0.96,0.8999999999999999,0.9247830304515876,115.8012746000016
heads pixelated,64,5,11,0.927536231884058,0.8533333333333334,0.888888888888889,0.8217921973894469,113.83973459999197
heads blurred,65,8,10,0.8904109589041096,0.8666666666666667,0.8783783783783784,0.8352206958279891,123.09021203333259
whole body pixelated,1,0,74,1.0,0.013333333333333334,0.02631578947368421,0.013333333333333334,116.51554596665505
