scenario,filter,PSNR,SSIM,ms
gaussian_s15,nlm,28.507276292860944,0.7951856045904903,333.6544179500095
gaussian_s30,gaussian,24.468221457148196,0.676135383827031,0.9615472249834056
saltpepper_20,adaptive_median,29.41636589314308,0.9252703403698422,60.31768925002439
saltpepper_5,adaptive_median,31.831270114952076,0.9447667993823471,60.707428325014234
