method,PSNR,SSIM,ms
(degraded),8.60141812806213,0.24651440377287875,0.0
gamma (auto),16.756464318564877,0.4877564783546367,0.340830533211071
global HE (scratch),17.5688465991181,0.4908416679940162,1.2527109666431595
CLAHE,12.377530738195018,0.5041627035440999,1.6508112001247355
gamma+CLAHE,15.921817558044127,0.47089757825745254,1.2700819332773488
gamma+CLAHE -> bilateral,16.147688257210227,0.5258729628937971,2.990420766703513
bilateral -> gamma+CLAHE,18.371536506653083,0.657670385751873,2.6755473000169636
