JPEG quality,bpp,Precision,Recall,F1,AP50
raw,24.0,0.8466666666666667,0.9338235294117647,0.8881118881118881,0.8999049664629889
70,1.6526252712753204,0.8344370860927153,0.9264705882352942,0.8780487804878049,0.8920487445441468
40,0.9481330968315711,0.8456375838926175,0.9264705882352942,0.8842105263157894,0.9000158432452626
20,0.6389904582893785,0.8368794326241135,0.8676470588235294,0.8519855595667869,0.8428470306089093
10,0.42119986332207476,0.8448275862068966,0.7205882352941176,0.7777777777777778,0.6884338011900077
5,0.28477607958267953,0.7450980392156863,0.27941176470588236,0.4064171122994653,0.24661176224394155
