scheme,bpp,PSNR_people,PSNR_background,PSNR_frame,uniform_q
ROI (q90 people / q15 bg),1.6415317668033405,38.633397810860835,27.681146602992005,29.431776992611997,70.0
uniform JPEG (same size),1.606177697534381,38.141171379411965,38.95748334814129,38.607998974403245,70.0
